ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC,Average Score
Logistic Regression,0.9214102093279471,0.993407534398682,0.9221784239573475,0.9214102093279471,0.9215897790418328,0.9050454594545089,0.9308402692513775
Decision Tree,0.8982739625413148,0.9555706146280036,0.8987841359844864,0.8982739625413148,0.8983792786685882,0.8770207777044989,0.9043837886780345
KNN,0.9166360631656262,0.9839280297126041,0.9173211930731834,0.9166360631656262,0.9167872918529542,0.8992048676004467,0.9250855847617401
Naive Bayes,0.7638633859713552,0.9644421096213359,0.7653708847319572,0.7638633859713552,0.7614742997970327,0.7154063217966201,0.7890700646482761
Random Forest,0.9221446933529196,0.9919784475238006,0.922157115650718,0.9221446933529196,0.922070695065038,0.9058410863103203,0.9310561218759527
